unique_id,ds,Open,High,Low,Close,Avg,Diff
QQQ,2024-04-17 01:45:00,303.7307,303.8488,303.1204,303.2976,303.499375,0.1205749999999739
QQQ,2024-04-17 01:50:00,303.2878,303.3271,302.648,302.7267,302.9974,-0.501974999999959
QQQ,2024-04-17 01:55:00,302.7267,303.0417,302.3527,302.6677,302.6972,-0.300200000000018
QQQ,2024-04-17 02:00:00,302.6578,302.9334,301.9984,302.3429,302.483125,-0.21407500000003665
QQQ,2024-04-17 02:05:00,302.2937,303.0515,302.2937,302.7508,302.597425,0.11430000000001428
QQQ,2024-04-17 02:10:00,302.7366,303.583,302.6086,303.398,303.08155,0.4841250000000059
QQQ,2024-04-17 02:15:00,303.4157,303.9472,303.0909,303.396,303.46245,0.3808999999999969
QQQ,2024-04-17 02:20:00,303.3862,303.6716,303.1795,303.3143,303.3879,-0.0745499999999879
QQQ,2024-04-17 02:25:00,303.355,303.3665,302.7661,302.9728,303.1151,-0.2728000000000179
QQQ,2024-04-17 02:30:00,302.963,302.963,302.2543,302.4315,302.65295000000003,-0.46214999999995143
QQQ,2024-04-17 02:35:00,302.4118,303.0614,302.0574,303.0319,302.640625,-0.01232500000003256
QQQ,2024-04-17 02:40:00,303.0811,303.5141,302.8842,302.9236,303.10075,0.460125000000005
QQQ,2024-04-17 02:45:00,302.9039,303.2779,302.5397,303.1069,302.9571,-0.14364999999997963
QQQ,2024-04-17 02:50:00,303.1106,303.4354,301.7523,301.8212,302.529875,-0.4272250000000213
QQQ,2024-04-17 02:55:00,301.8114,301.9885,301.0141,301.1618,301.49395,-1.0359250000000202
QQQ,2024-04-17 03:00:00,300.0496,300.5417,298.6225,300.2267,299.860125,-1.6338250000000016
QQQ,2024-04-17 03:05:00,300.2169,300.3448,299.0259,300.2563,299.96097499999996,0.1008499999999799
QQQ,2024-04-17 03:10:00,300.2267,301.1519,299.5183,301.0633,300.49005,0.5290750000000344
QQQ,2024-04-17 03:15:00,301.0633,301.713,300.4826,301.6539,301.2282,0.7381500000000187
QQQ,2024-04-17 03:20:00,301.7031,301.7031,301.024,301.0634,301.3734,0.14519999999998845
QQQ,2024-04-17 03:25:00,301.024,301.024,299.774,300.8271,300.662275,-0.7111249999999814
QQQ,2024-04-17 03:30:00,300.8173,302.023,300.4334,301.5259,301.1999,0.5376249999999914
QQQ,2024-04-17 03:35:00,301.585,301.7425,300.7681,301.1421,301.30942500000003,0.10952500000001919
QQQ,2024-04-17 03:40:00,301.1144,303.1992,300.9944,302.8941,302.050525,0.7410999999999603
QQQ,2024-04-17 03:45:00,302.8547,302.9876,301.5259,301.6441,302.25307499999997,0.2025499999999738
QQQ,2024-04-17 03:50:00,301.6539,301.9295,300.1972,300.2956,301.01905,-1.2340249999999742
QQQ,2024-04-17 03:55:00,300.2858,300.7976,299.9905,300.6681,300.4355,-0.5835500000000025
QQQ,2024-04-17 04:00:00,300.6696,301.4964,300.4285,301.1519,300.9366,0.5011000000000081
QQQ,2024-04-17 04:05:00,301.1224,301.772,300.8567,301.7425,301.3734,0.4368000000000052
QQQ,2024-04-17 04:10:00,301.7622,302.1455,301.3783,301.8852,301.7928,0.419399999999996
QQQ,2024-04-17 04:15:00,301.8704,302.3355,301.4275,302.1706,301.951,0.1582000000000221
QQQ,2024-04-17 04:20:00,302.1362,302.5299,301.713,302.0645,302.11089999999996,0.15989999999993643
QQQ,2024-04-17 04:25:00,302.0279,302.5693,301.8901,302.4511,302.2346,0.12370000000004211
QQQ,2024-04-17 04:30:00,302.4216,303.5437,302.2051,303.2779,302.862075,0.627475000000004
QQQ,2024-04-17 04:35:00,303.2976,303.6284,303.0712,303.524,303.3803,0.5182249999999726
QQQ,2024-04-17 04:40:00,303.524,304.4984,303.5043,304.4099,303.98415,0.6038500000000226
QQQ,2024-04-17 04:45:00,304.4295,304.5968,303.9275,304.1096,304.26585,0.2817000000000007
QQQ,2024-04-17 04:50:00,304.1244,304.3015,303.8488,304.2233,304.1245,-0.14134999999998854
QQQ,2024-04-17 04:55:00,304.2326,304.4775,303.7799,304.2321,304.180525,0.0560249999999769
QQQ,2024-04-17 05:00:00,304.2228,304.3015,303.5338,304.0752,304.033325,-0.147199999999998
