unique_id,ds,y
QQQ,2020-01-02 09:05:00,207.6425
QQQ,2020-01-02 09:10:00,207.6328
QQQ,2020-01-02 09:15:00,207.7006
QQQ,2020-01-02 09:20:00,207.6425
QQQ,2020-01-02 09:25:00,207.5941
QQQ,2020-01-02 09:30:00,207.9621
QQQ,2020-01-02 09:35:00,208.2624
QQQ,2020-01-02 09:40:00,208.18
QQQ,2020-01-02 09:45:00,208.0396
QQQ,2020-01-02 09:50:00,208.0106
QQQ,2020-01-02 09:55:00,208.2914
QQQ,2020-01-02 10:00:00,208.059
QQQ,2020-01-02 10:05:00,208.0687
QQQ,2020-01-02 10:10:00,207.7103
QQQ,2020-01-02 10:15:00,207.5602
QQQ,2020-01-02 10:20:00,207.4101
QQQ,2020-01-02 10:25:00,207.6135
QQQ,2020-01-02 10:30:00,207.5844
QQQ,2020-01-02 10:35:00,207.4488
QQQ,2020-01-02 10:40:00,207.5844
QQQ,2020-01-02 10:45:00,207.6086
QQQ,2020-01-02 10:50:00,207.6232
QQQ,2020-01-02 10:55:00,207.8556
QQQ,2020-01-02 11:00:00,207.8362
QQQ,2020-01-02 11:05:00,207.875
QQQ,2020-01-02 11:10:00,207.9635
QQQ,2020-01-02 11:15:00,207.8362
QQQ,2020-01-02 11:20:00,207.9621
QQQ,2020-01-02 11:25:00,207.8556
QQQ,2020-01-02 11:30:00,207.5069
QQQ,2020-01-02 11:35:00,207.5941
QQQ,2020-01-02 11:40:00,207.6425
QQQ,2020-01-02 11:45:00,207.7664
QQQ,2020-01-02 11:50:00,207.8653
QQQ,2020-01-02 11:55:00,207.8847
QQQ,2020-01-02 12:00:00,207.8943
QQQ,2020-01-02 12:05:00,207.9137
QQQ,2020-01-02 12:10:00,207.9234
QQQ,2020-01-02 12:15:00,208.0208
QQQ,2020-01-02 12:20:00,208.0106
QQQ,2020-01-02 12:25:00,207.9952
QQQ,2020-01-02 12:30:00,208.0493
QQQ,2020-01-02 12:35:00,208.1946
QQQ,2020-01-02 12:40:00,208.2018
QQQ,2020-01-02 12:45:00,208.2043
QQQ,2020-01-02 12:50:00,208.2287
QQQ,2020-01-02 12:55:00,208.2478
QQQ,2020-01-02 13:00:00,208.1607
QQQ,2020-01-02 13:05:00,208.1268
QQQ,2020-01-02 13:10:00,208.08
QQQ,2020-01-02 13:15:00,208.0687
QQQ,2020-01-02 13:20:00,208.133
QQQ,2020-01-02 13:25:00,208.1171
QQQ,2020-01-02 13:30:00,208.0783
QQQ,2020-01-02 13:35:00,208.0977
QQQ,2020-01-02 13:40:00,208.0396
QQQ,2020-01-02 13:45:00,208.1849
QQQ,2020-01-02 13:50:00,208.1268
QQQ,2020-01-02 13:55:00,208.2385
QQQ,2020-01-02 14:00:00,208.3302
QQQ,2020-01-02 14:05:00,208.3205
QQQ,2020-01-02 14:10:00,208.3592
QQQ,2020-01-02 14:15:00,208.4367
QQQ,2020-01-02 14:20:00,208.5335
QQQ,2020-01-02 14:25:00,208.5529
QQQ,2020-01-02 14:30:00,208.5252
QQQ,2020-01-02 14:35:00,208.5238
QQQ,2020-01-02 14:40:00,208.6498
QQQ,2020-01-02 14:45:00,208.6498
QQQ,2020-01-02 14:50:00,208.6836
QQQ,2020-01-02 14:55:00,208.674
QQQ,2020-01-02 15:00:00,208.7369
QQQ,2020-01-02 15:05:00,208.6643
QQQ,2020-01-02 15:10:00,208.7418
QQQ,2020-01-02 15:15:00,208.7043
QQQ,2020-01-02 15:20:00,208.7805
QQQ,2020-01-02 15:25:00,208.7369
QQQ,2020-01-02 15:30:00,208.8221
QQQ,2020-01-02 15:35:00,208.8096
QQQ,2020-01-02 15:40:00,208.8338
QQQ,2020-01-02 15:45:00,208.8531
QQQ,2020-01-02 15:50:00,209.1921
QQQ,2020-01-02 15:55:00,209.3277
QQQ,2020-01-02 16:00:00,209.2986
QQQ,2020-01-02 16:05:00,209.4149
QQQ,2020-01-02 16:10:00,209.3858
QQQ,2020-01-02 16:15:00,209.3761
QQQ,2020-01-02 16:20:00,209.3277
QQQ,2020-01-02 16:25:00,209.3374
QQQ,2020-01-02 16:30:00,209.3858
QQQ,2020-01-02 16:35:00,209.3858
QQQ,2020-01-02 16:40:00,209.473
QQQ,2020-01-02 16:45:00,209.5214
QQQ,2020-01-02 16:50:00,209.5698
QQQ,2020-01-02 16:55:00,209.5795
QQQ,2020-01-02 17:00:00,209.6085
QQQ,2020-01-02 17:05:00,209.6085
QQQ,2020-01-02 17:10:00,209.5795
QQQ,2020-01-02 17:15:00,209.5989
QQQ,2020-01-02 17:20:00,209.6085
QQQ,2020-01-02 17:30:00,209.6279
QQQ,2020-01-02 17:35:00,209.6085
QQQ,2020-01-02 17:40:00,209.5989
QQQ,2020-01-02 17:45:00,209.6182
QQQ,2020-01-02 17:50:00,209.5408
QQQ,2020-01-02 17:55:00,209.5795
QQQ,2020-01-02 18:00:00,209.5795
QQQ,2020-01-02 18:05:00,209.6279
QQQ,2020-01-02 18:10:00,209.7248
QQQ,2020-01-02 18:15:00,209.657
QQQ,2020-01-02 18:20:00,209.6085
QQQ,2020-01-02 18:25:00,209.6182
QQQ,2020-01-02 18:30:00,209.6182
QQQ,2020-01-02 18:35:00,209.5795
QQQ,2020-01-02 18:40:00,209.5795
QQQ,2020-01-02 18:45:00,209.5892
QQQ,2020-01-02 18:50:00,209.5795
QQQ,2020-01-02 18:55:00,209.5311
QQQ,2020-01-02 19:00:00,209.5601
QQQ,2020-01-02 19:05:00,209.6085
QQQ,2020-01-02 19:10:00,209.5698
QQQ,2020-01-02 19:15:00,209.5892
QQQ,2020-01-02 19:20:00,209.5698
QQQ,2020-01-02 19:25:00,209.5601
QQQ,2020-01-02 19:30:00,209.6182
QQQ,2020-01-02 19:35:00,209.5601
QQQ,2020-01-02 19:40:00,209.657
QQQ,2020-01-02 19:45:00,209.6182
QQQ,2020-01-02 19:50:00,209.6182
QQQ,2020-01-02 19:55:00,209.6279
QQQ,2020-01-03 04:00:00,206.9355
QQQ,2020-01-03 04:05:00,206.8387
QQQ,2020-01-03 04:10:00,206.7612
QQQ,2020-01-03 04:15:00,206.7709
QQQ,2020-01-03 04:20:00,206.7418
QQQ,2020-01-03 04:25:00,206.7031
QQQ,2020-01-03 04:30:00,206.6934
QQQ,2020-01-03 04:35:00,206.6837
QQQ,2020-01-03 04:40:00,206.4804
QQQ,2020-01-03 04:45:00,206.5385
QQQ,2020-01-03 04:50:00,206.6353
QQQ,2020-01-03 04:55:00,206.6837
QQQ,2020-01-03 05:00:00,206.8387
QQQ,2020-01-03 05:05:00,206.7806
QQQ,2020-01-03 05:10:00,206.6934
QQQ,2020-01-03 05:15:00,206.6837
QQQ,2020-01-03 05:20:00,206.829
QQQ,2020-01-03 05:25:00,206.645
QQQ,2020-01-03 05:30:00,206.5481
QQQ,2020-01-03 05:35:00,206.4126
QQQ,2020-01-03 05:40:00,206.4804
QQQ,2020-01-03 05:45:00,206.1704
QQQ,2020-01-03 05:50:00,206.1511
QQQ,2020-01-03 05:55:00,205.9283
QQQ,2020-01-03 06:00:00,205.9961
QQQ,2020-01-03 06:05:00,206.1414
